NeuronNetwork 0
N  87 8.58735 -8.6276 -39.3955 6.86879 -7.68441 -38.8989 0.0734771 0.51228 0.765445 1 -0.318356 -0.143425 0.145347 14 3232 0 0 0 85 1 89 
N  88 51.4524 6.37314 6.19745 50.2701 5.4679 5.29646 0.646424 0.687463 0.767947 1 0.281631 0.436128 0.0650395 7 3231 0 0 0 86 1 93 
N  89 10.5595 -9.70867 -39.4577 8.72131 -8.51315 -39.6073 0.0208625 0.508358 0.765256 1 0.214735 -0.313607 0.440808 15 3231 0 0 0 87 2 109 112 
N  90 1.06145 -9.29384 -44.5934 0.639762 -7.9374 -43.6727 0.263692 0.623973 0.766455 1 0.000163242 -0.299739 -0.331373 8 3231 0 0 0 55 2 107 2583 
N  91 8.20891 9.17378 63.1534 7.30782 8.42525 61.4506 0.541539 0.49663 0.766958 1 0.191546 -0.0891368 -0.00171974 8 3230 0 0 0 68 1 105 
N  92 55.5143 0.607291 -2.62064 53.9985 0.459378 -2.05052 0.778109 0.61501 0.768145 1 0.120692 0.0207304 -0.088251 7 3228 0 0 0 63 1 94 
N  93 50.2493 7.6156 7.14997 49.2373 6.66133 6.1706 0.660616 0.710229 0.768071 1 0.147887 0.223966 0.031629 8 3228 0 0 0 88 1 103 
N  94 53.467 1.01125 -3.8622 52.3899 0.59874 -3.23751 0.801948 0.590186 0.768142 1 -0.104455 0.182676 -0.142406 8 3227 0 0 0 92 1 95 
N  95 51.6954 1.24586 -5.41113 50.8413 0.611772 -4.67383 0.763423 0.567348 0.767937 1 0.206915 -0.0847695 -0.0259728 9 3226 0 0 0 94 1 101 
N  96 3.5102 1.73718 -39.5942 2.42655 0.858039 -37.2463 0.381963 0.549018 0.7666 1 0.00787134 0.0661059 -0.118548 10 3226 0 0 0 80 2 146 508 
N  97 9.78425 -5.31634 -42.3269 8.59591 -5.03129 -42.3989 0.204585 0.553282 0.766021 1 -0.0971161 -0.203699 0.0478788 12 3225 0 0 0 67 1 98 
N  98 11.2658 -7.20444 -41.9902 10.1051 -6.55444 -42.5551 0.125575 0.581248 0.76585 1 -0.148493 -0.281374 0.197144 13 3224 0 0 0 97 1 99 
N  99 12.8426 -9.07383 -41.555 11.74 -8.05423 -42.5015 0.130497 0.551769 0.765768 1 -0.32166 -0.398857 -0.156491 14 3221 0 0 0 98 1 110 
N  100 -4.51203 -1.98235 -47.5474 -3.05181 -1.1326 -47.4871 0.361369 0.552049 0.766541 1 -0.275167 0.137188 0.0746579 5 3221 0 0 0 75 1 113 
N  101 50.6011 1.89423 -7.14883 49.8367 0.993395 -6.27741 0.700587 0.582057 0.767776 1 0.103981 -0.0172178 -0.0112539 10 3220 0 0 0 95 1 102 
N  102 49.9581 3.2989 -8.79066 49.2505 2.09227 -7.82586 0.743056 0.627658 0.76807 1 -0.218584 -0.436727 -0.152083 11 3216 0 0 0 101 2 122 3679 
N  103 50.207 8.99755 8.33554 49.3096 8.12645 7.36768 0.666195 0.661055 0.767925 1 -0.142129 0.032904 -0.156945 9 3216 0 0 0 93 1 115 
N  104 7.2823 10.2269 -48.061 6.53155 10.0601 -48.2639 0.435899 0.516122 0.76667 1 0.0278178 -0.022762 0.311284 5 3216 0 0 0 57 2 108 393 
N  105 9.12204 9.73252 64.1498 8.27302 9.01863 62.9853 0.444926 0.453861 0.766492 1 0.0433141 0.0477782 -0.0227742 9 3215 0 0 0 91 2 119 2064 
N  106 -35.3041 -4.75022 -4.06235 -33.1075 -4.59687 -4.07198 0.401228 0.540398 0.766635 1 -0.140318 -0.114883 -0.325381 12 3213 0 0 0 77 2 116 390 
N  107 3.39201 -10.2135 -44.2644 2.4643 -9.08367 -43.6404 0.231394 0.601388 0.766271 1 -0.203494 -0.104765 -0.148506 9 3213 0 0 0 90 1 141 
N  108 8.59456 11.2931 -47.737 7.88371 11.498 -47.8416 0.529569 0.499789 0.766929 1 -0.312449 0.0580489 -0.0283835 6 3213 0 0 0 104 2 118 6495 
N  109 12.7483 -10.1985 -39.4804 10.835 -8.82805 -40.1885 0.0327261 0.552918 0.765445 1 0.0791067 -0.170379 0.237483 16 3212 0 0 0 89 1 125 
N  110 14.6082 -10.5629 -40.9117 13.7526 -9.25355 -42.0396 0.224814 0.542319 0.766052 1 -0.13312 -0.567081 -0.201056 15 3211 0 0 0 99 2 132 1128 
N  111 -47.3128 -5.64672 -6.64348 -47.1162 -3.7222 -4.53518 0.368548 0.55433 0.766573 1 0.260667 0.107956 -0.160435 4 3209 0 0 0 23 2 117 259 
N  112 12.8116 -9.79815 -39.4656 10.908 -8.49573 -40.1634 0.0925108 0.484123 0.765415 1 -0.218086 -0.0525969 0.618646 16 3209 0 0 0 89 1 126 
N  113 -5.18073 0.261006 -46.9832 -3.80873 0.374954 -46.7271 0.407739 0.532532 0.766631 1 -0.0968443 0.13207 0.0632871 6 3209 0 0 0 100 1 170 
N  114 12.5023 14.0011 53.6921 11.298 13.3832 53.6557 0.430033 0.758284 0.76746 1 0.195664 -0.100962 -0.372542 14 3207 0 0 0 84 1 123 
N  115 50.675 10.1303 9.53622 49.9154 9.38266 8.65294 0.726027 0.710217 0.76829 1 -0.29885 0.286105 -0.0389283 10 3207 0 0 0 103 2 129 8847 
N  116 -34.9065 -2.67596 -2.05512 -32.8826 -3.10905 -2.63515 0.409801 0.545508 0.766681 1 0.0165419 -0.045528 -0.502906 13 3207 0 0 0 106 2 124 291 
N  117 -48.5995 -5.42363 -6.90262 -49.056 -3.76688 -4.98348 0.408684 0.582475 0.766801 1 0.334884 0.240876 -0.278336 5 3207 0 0 0 111 1 134 
N  118 10.038 11.8158 -47.8634 9.59595 12.1603 -48.1552 0.479917 0.495438 0.766748 1 -0.13945 0.0535871 -0.0503797 7 3206 0 0 0 108 2 133 3326 
