machine : 2.1 NVIDIA-8.26.28 310.40.55b01 : NVIDIA Corporation : NVIDIA GeForce GT 650M OpenGL Engine : display monitor
visual system,preset,loadtime,fps
Ocean,g_FIN_02_Monochrome,0.242432,5.57785
OpenP5Hackpact,JM_1_bluer,0.363525,53.3874
VerletForm,MWDarkOC,0.1875,55.6063
RGBDVideo,KoblinSubway_medium,0.432129,56.2312
Ocean,g_flatRadicalOC,0.17627,11.2296
Mandala,JM_AlienFusionReactor2OC,1.00977,56.9028
Xstatic,BouncingBalls,0.151611,55.4987
Terrain,JM_Terraformer,0.202881,55.8636
Terrain,M_DrawGoo,0.181885,56.875
OpenP5SpaceJunk,StarkCubes,0.423096,56.8612
VerletForm,JG_does_marius3,0.204346,54.219
OpenP5NoiseSphere,gx_work_04a,0.179199,54.5736
Connectors,g_work_02a,0.482178,57.9858
MarchingCubes,MetaMarch_1OC,0.488525,54.993
OpenP5NoiseSphere,jm_03a_things2OC,0.453369,54.6929
LaplacianTunnel,LaplacianGray,2.15552,54.993
Astrolabe,BigBlueDial,0.544434,55.1252
Oscillations,g_waveForm,0.418213,54.5869
Ocean,g_epicLines_01OC,0.421631,11.1684
OpenP5Spaghetti,SmoothScribblesOC,0.411865,54.6663
MarchingCubes,MetaMarch_3OC,0.462646,56.2041
Pages,DriftOC,0.529297,54.4681
MazeGenerator,gal2OC,2.15771,43.9785
RGBDVideo,ITP_4,0.468018,54.8127
CubeCraft,g_work_02a,0.615234,55.112
Ocean,ChoppyBlueOcean,0.145264,19.4538
Xstatic,BigPong3_lavendar,0.425537,57.453
Astrolabe,Clock3_ZoomOut,0.149902,57.453
WormHole,gTunnelOrganix_10_xray,0.583984,57.453
MarchingCubes,SineWire1,0.170654,57.3974
WormHole,gTunnelv3_03_white,0.557617,54.9196
Cities,Archiving6,0.889404,57.4252
Cities,gx_FIN_02,1.12915,57.5504
Xstatic,Neutrinos_1,0.188721,57.5783
Neurons,VeryNervousSystem_OC,0.419434,58.8563
OpenP5NoiseSphere,jm_02aSun_things1OC,0.180176,57.7042
Histogram,DataHistogram4,0.146484,57.5086
CubeCraft,g_FIN_02,0.450195,57.7462
Mandala,JM_AlienFusionReactor2,1.40234,57.7603
Voro,Dream_Crystal1,0.151611,58.3166
RandomDigits2,Matrix_5_dense,0.437012,58.2885
WormHole,OrganicTunnel_2_White,0.620361,57.0665
RandomDigits2,Matrix_3_slower,0.436768,57.3697
Mandala,DinoSkinPlanetOC,1.4126,57.2591
Circuit,JM_ZoomOut,1.17188,43.6166
World,Social_NetworkOC,0.973633,50.5557
ExampleOpenSteer,Fish_purple,0.466309,41.8875
LaplacianTunnel,LaplacianBlack,2.91016,57.2729
Astrolabe,variedSpeed,0.570801,57.7462
Connectors,Rotating_Box_slow,0.443604,58.2744
World,Data_globe2,1.06372,35.7556
Mandala,PureFormEvolving_OC,1.4165,57.2315
Mandala,PureFormOC,1.05933,57.2729
World,AtomicOC,1.0188,40.3208
Ocean,DunesAtNightOC,0.425293,57.1352
CubeCraft,MC_infinite,0.739746,57.3836
OpenP5Spaghetti,Fuzzy_galaxyOC,0.466797,57.4252
DataCascade,DoubleTunnel2,0.581299,57.0254
Cities,gx_work_02a-1,1.08423,57.0254
Neurons,MezzyNeurons_Q,0.424805,58.6848
WormHole,gTunnelv2_01_white,0.608154,57.453
WormHole,gTunnelv2_04_white,0.709961,57.3282
Twitter,CLOUDS,6.27832,57.2177
WormHole,OrganicTunnel_2_White_Faster,0.421387,57.3005
WormHole,gTunnelv2_06_transparent_blue,0.625488,57.0254
World,Arcs2,0.956543,56.668
Circuit,JM_ZoomOutIn,1.09912,37.2899
Cities,Sprawl_aerial1,1.26025,57.2729
MazeGenerator,JM_groundcam,2.29395,57.6901
Astrolabe,BigDial_PanZoomout,0.377441,57.5504
MarchingCubes,MetaMarch_2OC,0.42041,57.7743
WormHole,lightAndFog,0.644043,57.3559
MazeGenerator,flyover_near,2.18066,56.9722
Ocean,DuskOcean_JG,0.518555,49.6846
World,Atomic2,0.956055,42.8744
VerletForm,MWLORES_OC,0.410645,57.7743
OpenP5NoiseSphere,Nervous_ColorsOC,0.163086,55.6198
Mandala,JM_AlienFusionReactor,2.99316,56.613
WormHole,OrganicTunnel_2_slow,0.891113,56.8335
Histogram,Waveform3,0.340332,55.2181
Histogram,Waveform3_GTNonStop,0.394531,55.5659
WormHole,OrganicTunnel_2_fast,0.757812,56.9166
Astrolabe,BigDial_Linear_ZoomIn,0.271484,56.2854
Histogram,Waveform1,0.29541,56.9166
OpenP5Spaghetti,VioletBlue_Nebula,0.904297,39.9415
TunnelDrawing,Ink_2,0.30957,56.8335
Terrain,M_Terraformer,0.401367,55.165
ExampleOpenSteer,Streamers_purple,0.347656,27.8234
Replicator,ReplicatorOC,0.239746,11.8382
CubeCraft,MC_shadows_1,0.886719,52.3356
Circuit,JM_LongSweep,1.70068,25.1407
Connectors,Rotating_Box,0.337402,58.6848
TunnelDrawing,Ink_1,0.200684,57.7182
Astrolabe,DreamEggs1,0.44873,58.8563
Xstatic,FastPhysics2_TumblingBoxOC,0.263672,57.9717
Replicator,Replicator_organ,0.435547,17.9912
